seed=31
gen=0	fitness=95.532879582370	position=[4.147988, 0.019944, -0.105454, -2.419418, 0.908298, -0.821367, -2.424220, 0.065213, 0.979530, -2.205191]
gen=15	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
gen=16	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
gen=17	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
gen=18	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
gen=19	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
gen=20	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
gen=21	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
gen=22	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
gen=23	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
gen=24	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
gen=25	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
gen=26	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
gen=27	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
gen=28	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
gen=29	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
gen=30	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
gen=31	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
gen=32	fitness=44.127797007993	position=[0.928257, 1.289884, 0.936371, -1.015692, -1.163756, 0.008331, -1.021764, 0.063478, 0.798305, 0.242577]
gen=33	fitness=44.127797007993	position=[0.928257, 1.289884, 0.936371, -1.015692, -1.163756, 0.008331, -1.021764, 0.063478, 0.798305, 0.242577]
gen=34	fitness=44.127797007993	position=[0.928257, 1.289884, 0.936371, -1.015692, -1.163756, 0.008331, -1.021764, 0.063478, 0.798305, 0.242577]
gen=35	fitness=44.127797007993	position=[0.928257, 1.289884, 0.936371, -1.015692, -1.163756, 0.008331, -1.021764, 0.063478, 0.798305, 0.242577]
gen=36	fitness=44.127797007993	position=[0.928257, 1.289884, 0.936371, -1.015692, -1.163756, 0.008331, -1.021764, 0.063478, 0.798305, 0.242577]
gen=37	fitness=44.127797007993	position=[0.928257, 1.289884, 0.936371, -1.015692, -1.163756, 0.008331, -1.021764, 0.063478, 0.798305, 0.242577]
gen=38	fitness=44.127797007993	position=[0.928257, 1.289884, 0.936371, -1.015692, -1.163756, 0.008331, -1.021764, 0.063478, 0.798305, 0.242577]
gen=39	fitness=44.127797007993	position=[0.928257, 1.289884, 0.936371, -1.015692, -1.163756, 0.008331, -1.021764, 0.063478, 0.798305, 0.242577]
gen=40	fitness=44.127797007993	position=[0.928257, 1.289884, 0.936371, -1.015692, -1.163756, 0.008331, -1.021764, 0.063478, 0.798305, 0.242577]
gen=41	fitness=44.127797007993	position=[0.928257, 1.289884, 0.936371, -1.015692, -1.163756, 0.008331, -1.021764, 0.063478, 0.798305, 0.242577]
gen=42	fitness=44.127797007993	position=[0.928257, 1.289884, 0.936371, -1.015692, -1.163756, 0.008331, -1.021764, 0.063478, 0.798305, 0.242577]
gen=43	fitness=43.163859377590	position=[-0.117094, -1.157320, 0.978824, -0.883231, -1.978193, 0.997501, -0.879054, 0.047424, 0.674720, 1.877502]
gen=44	fitness=43.163859377590	position=[-0.117094, -1.157320, 0.978824, -0.883231, -1.978193, 0.997501, -0.879054, 0.047424, 0.674720, 1.877502]
gen=45	fitness=43.163859377590	position=[-0.117094, -1.157320, 0.978824, -0.883231, -1.978193, 0.997501, -0.879054, 0.047424, 0.674720, 1.877502]
gen=46	fitness=43.163859377590	position=[-0.117094, -1.157320, 0.978824, -0.883231, -1.978193, 0.997501, -0.879054, 0.047424, 0.674720, 1.877502]
gen=47	fitness=43.163859377590	position=[-0.117094, -1.157320, 0.978824, -0.883231, -1.978193, 0.997501, -0.879054, 0.047424, 0.674720, 1.877502]
gen=48	fitness=43.163859377590	position=[-0.117094, -1.157320, 0.978824, -0.883231, -1.978193, 0.997501, -0.879054, 0.047424, 0.674720, 1.877502]
gen=49	fitness=43.163859377590	position=[-0.117094, -1.157320, 0.978824, -0.883231, -1.978193, 0.997501, -0.879054, 0.047424, 0.674720, 1.877502]
gen=50	fitness=43.163859377590	position=[-0.117094, -1.157320, 0.978824, -0.883231, -1.978193, 0.997501, -0.879054, 0.047424, 0.674720, 1.877502]
gen=51	fitness=43.163859377590	position=[-0.117094, -1.157320, 0.978824, -0.883231, -1.978193, 0.997501, -0.879054, 0.047424, 0.674720, 1.877502]
gen=52	fitness=43.163859377590	position=[-0.117094, -1.157320, 0.978824, -0.883231, -1.978193, 0.997501, -0.879054, 0.047424, 0.674720, 1.877502]
gen=53	fitness=43.163859377590	position=[-0.117094, -1.157320, 0.978824, -0.883231, -1.978193, 0.997501, -0.879054, 0.047424, 0.674720, 1.877502]
gen=54	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=55	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=56	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=57	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=58	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=59	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=60	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=61	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=62	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=63	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=64	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=65	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=66	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=67	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=68	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=69	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=70	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=71	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=72	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=73	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=74	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=75	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=76	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=77	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=78	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=79	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=80	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=81	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=82	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=83	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=84	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=85	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=86	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=87	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=88	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=89	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=90	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=91	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=92	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=93	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=94	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=95	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=96	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=97	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=98	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=99	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=100	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=101	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=102	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=103	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=104	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=105	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=106	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=107	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=108	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=109	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=110	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=111	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=112	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=113	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=114	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=115	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=116	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=117	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=118	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=119	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=120	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=121	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=122	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=123	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=124	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=125	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=126	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=127	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=128	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=129	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=130	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=131	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=132	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=133	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=134	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=135	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=136	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=137	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=138	fitness=41.644604023435	position=[0.212264, -0.832344, -0.009842, -0.146436, 0.224129, 0.026484, 2.103052, -0.155709, 0.021438, 1.930304]
gen=139	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=140	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=141	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=142	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=143	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=144	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=145	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=146	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=147	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=148	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=149	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=150	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=151	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=152	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=153	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=154	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=155	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=156	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=157	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=158	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=159	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=160	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=161	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=162	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=163	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=164	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=165	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=166	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=167	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=168	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=169	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=170	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=171	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=172	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=173	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
gen=174	fitness=40.898536414315	position=[-1.206547, -0.818431, 1.977924, 1.101482, -0.963355, 0.037333, -1.967142, -0.271401, 0.049677, 1.000986]
