seed=25
gen=0	fitness=104.478557999482	position=[-1.843127, 2.985794, -0.107304, -2.085369, 1.044083, -2.847223, -1.166616, -5.052440, -1.452292, -3.105645]
gen=25	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=26	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=27	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=28	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=29	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=30	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=31	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=32	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=33	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=34	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=35	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=36	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=37	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=38	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=39	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=40	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=41	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=42	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=43	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=44	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=45	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=46	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=47	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=48	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=49	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=50	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=51	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=52	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=53	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=54	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=55	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=56	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=57	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=58	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=59	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=60	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=61	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=62	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=63	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=64	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=65	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=66	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=67	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=68	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=69	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=70	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=71	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=72	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=73	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=74	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=75	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=76	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=77	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=78	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=79	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=80	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=81	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=82	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=83	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=84	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=85	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=86	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=87	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=88	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=89	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=90	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=91	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=92	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=93	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=94	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=95	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=96	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=97	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=98	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=99	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=100	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=101	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=102	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=103	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=104	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=105	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=106	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=107	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=108	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=109	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=110	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=111	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=112	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=113	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=114	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=115	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=116	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=117	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=118	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=119	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=120	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=121	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=122	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=123	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=124	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=125	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=126	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=127	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=128	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=129	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=130	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=131	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=132	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=133	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=134	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=135	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=136	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=137	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=138	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=139	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=140	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=141	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=142	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=143	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=144	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=145	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=146	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=147	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=148	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=149	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=150	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=151	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=152	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=153	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=154	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=155	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=156	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=157	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=158	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=159	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=160	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=161	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=162	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=163	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=164	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=165	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=166	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=167	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=168	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=169	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=170	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=171	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=172	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
gen=173	fitness=35.734735825804	position=[-1.964337, -0.176749, -1.017966, -0.198971, -0.058275, 0.093283, -1.930387, -0.226167, -0.957251, -0.078654]
