seed=24
gen=0	fitness=120.869143633939	position=[-3.126838, -4.245563, 3.217061, -1.522543, 2.891986, 2.672801, 2.069485, -0.959059, 0.068240, -0.016947]
gen=63	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=64	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=65	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=66	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=67	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=68	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=69	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=70	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=71	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=72	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=73	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=74	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=75	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=76	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=77	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=78	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=79	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=80	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=81	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=82	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=83	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=84	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=85	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=86	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=87	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=88	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=89	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=90	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=91	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=92	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=93	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=94	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=95	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=96	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=97	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=98	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=99	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=100	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=101	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=102	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=103	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=104	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=105	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=106	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=107	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=108	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=109	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=110	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=111	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=112	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=113	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=114	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=115	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=116	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=117	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=118	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=119	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=120	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=121	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=122	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=123	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=124	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=125	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=126	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=127	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=128	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=129	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=130	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=131	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=132	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=133	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=134	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=135	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=136	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=137	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=138	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=139	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=140	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=141	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=142	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=143	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=144	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=145	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=146	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=147	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=148	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=149	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=150	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=151	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=152	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=153	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=154	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=155	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=156	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=157	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=158	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=159	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=160	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=161	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=162	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=163	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=164	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=165	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=166	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=167	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=168	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=169	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=170	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=171	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=172	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=173	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
