seed=29
gen=0	fitness=109.992429584224	position=[-1.273255, 0.068512, -0.783845, 3.031142, 3.075657, -1.556177, -0.066584, -5.106273, 1.018083, -0.341469]
gen=34	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=35	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=36	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=37	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=38	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=39	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=40	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=41	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=42	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=43	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=44	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=45	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=46	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=47	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=48	fitness=45.494038640113	position=[-0.701697, -0.139208, -2.227778, 0.958298, -0.157556, -0.015008, -0.906124, -1.098755, 0.909407, -0.987086]
gen=49	fitness=45.494038640113	position=[-0.701697, -0.139208, -2.227778, 0.958298, -0.157556, -0.015008, -0.906124, -1.098755, 0.909407, -0.987086]
gen=50	fitness=45.494038640113	position=[-0.701697, -0.139208, -2.227778, 0.958298, -0.157556, -0.015008, -0.906124, -1.098755, 0.909407, -0.987086]
gen=51	fitness=45.494038640113	position=[-0.701697, -0.139208, -2.227778, 0.958298, -0.157556, -0.015008, -0.906124, -1.098755, 0.909407, -0.987086]
gen=52	fitness=45.494038640113	position=[-0.701697, -0.139208, -2.227778, 0.958298, -0.157556, -0.015008, -0.906124, -1.098755, 0.909407, -0.987086]
gen=53	fitness=45.494038640113	position=[-0.701697, -0.139208, -2.227778, 0.958298, -0.157556, -0.015008, -0.906124, -1.098755, 0.909407, -0.987086]
gen=54	fitness=45.494038640113	position=[-0.701697, -0.139208, -2.227778, 0.958298, -0.157556, -0.015008, -0.906124, -1.098755, 0.909407, -0.987086]
gen=55	fitness=45.494038640113	position=[-0.701697, -0.139208, -2.227778, 0.958298, -0.157556, -0.015008, -0.906124, -1.098755, 0.909407, -0.987086]
gen=56	fitness=45.494038640113	position=[-0.701697, -0.139208, -2.227778, 0.958298, -0.157556, -0.015008, -0.906124, -1.098755, 0.909407, -0.987086]
gen=57	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=58	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=59	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=60	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=61	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=62	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=63	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=64	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=65	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=66	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=67	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=68	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=69	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=70	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=71	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=72	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=73	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=74	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=75	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=76	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=77	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=78	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=79	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=80	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=81	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=82	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=83	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=84	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=85	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=86	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=87	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=88	fitness=40.164464950543	position=[-0.015445, -0.019993, -1.173670, 2.907267, 0.062129, -0.073456, -0.743232, -0.063400, 0.793079, 0.937283]
gen=89	fitness=26.810150118038	position=[0.156208, -0.080743, 0.066376, -0.020032, -0.010156, -0.235086, -1.961786, 0.083172, 1.039966, -1.962815]
gen=90	fitness=26.810150118038	position=[0.156208, -0.080743, 0.066376, -0.020032, -0.010156, -0.235086, -1.961786, 0.083172, 1.039966, -1.962815]
gen=91	fitness=26.810150118038	position=[0.156208, -0.080743, 0.066376, -0.020032, -0.010156, -0.235086, -1.961786, 0.083172, 1.039966, -1.962815]
gen=92	fitness=26.810150118038	position=[0.156208, -0.080743, 0.066376, -0.020032, -0.010156, -0.235086, -1.961786, 0.083172, 1.039966, -1.962815]
gen=93	fitness=26.810150118038	position=[0.156208, -0.080743, 0.066376, -0.020032, -0.010156, -0.235086, -1.961786, 0.083172, 1.039966, -1.962815]
gen=94	fitness=26.810150118038	position=[0.156208, -0.080743, 0.066376, -0.020032, -0.010156, -0.235086, -1.961786, 0.083172, 1.039966, -1.962815]
gen=95	fitness=26.810150118038	position=[0.156208, -0.080743, 0.066376, -0.020032, -0.010156, -0.235086, -1.961786, 0.083172, 1.039966, -1.962815]
gen=96	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=97	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=98	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=99	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=100	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=101	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=102	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=103	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=104	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=105	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=106	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=107	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=108	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=109	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=110	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=111	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=112	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=113	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=114	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=115	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=116	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=117	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=118	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=119	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=120	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=121	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=122	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=123	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=124	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=125	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=126	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=127	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=128	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=129	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=130	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=131	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=132	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=133	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=134	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=135	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=136	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=137	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=138	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=139	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=140	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=141	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=142	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=143	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=144	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=145	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=146	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=147	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=148	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=149	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=150	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=151	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=152	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=153	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=154	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=155	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=156	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=157	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=158	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=159	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=160	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=161	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=162	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=163	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=164	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=165	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=166	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=167	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=168	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=169	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=170	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=171	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=172	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=173	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
gen=174	fitness=25.059707867459	position=[0.046931, -0.074502, -0.033529, 0.118039, -0.003704, -0.871064, 0.140826, 0.005991, -1.871193, -2.104783]
