seed=27
gen=0	fitness=89.754001541550	chromosome=0110101000111101000000110111101001010011101010100100110110001010101011100100001101100011110010101001100000010011100000111100000010011010000001111111100111111111	decoded=[-0.870404, -4.980935, -1.773386, -2.018390, 1.850575, -1.128377, 0.963062, 0.150080, 1.041188, 4.879996]
gen=40	fitness=12.537479676640	chromosome=0110011100101001011111110111000110011011001010000111111101011101011001110100010010010111011110110111111110011001100110010011011001010000000000001000000010001001	decoded=[-0.993531, -0.022266, 1.086345, -0.025391, -0.989312, 0.939311, -0.016016, 1.008531, -1.919951, 0.021485]
gen=41	fitness=10.022086674653	chromosome=1001101100010001011010000010101001101000011101000111111101001110011111110111010110011001000100011001100001100110100000011010010010000001001000111001100001011111	decoded=[1.082751, -0.953374, -0.941811, -0.027735, -0.021641, 1.002750, 0.976031, 0.065704, 0.045548, 0.974937]
gen=42	fitness=5.809510060780	chromosome=0111111010001000100000101011110101111111110000001000000000101000011111110100011101111101111010001000000001111000100000010101011010000001001100111000000011001110	decoded=[-0.058673, 0.109611, -0.009922, 0.006328, -0.028829, -0.083673, 0.018828, 0.053516, 0.048048, 0.032266]
gen=43	fitness=5.809510060780	chromosome=0111111010001000100000101011110101111111110000001000000000101000011111110100011101111101111010001000000001111000100000010101011010000001001100111000000011001110	decoded=[-0.058673, 0.109611, -0.009922, 0.006328, -0.028829, -0.083673, 0.018828, 0.053516, 0.048048, 0.032266]
gen=44	fitness=5.809510060780	chromosome=0111111010001000100000101011110101111111110000001000000000101000011111110100011101111101111010001000000001111000100000010101011010000001001100111000000011001110	decoded=[-0.058673, 0.109611, -0.009922, 0.006328, -0.028829, -0.083673, 0.018828, 0.053516, 0.048048, 0.032266]
gen=45	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=46	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=47	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=48	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=49	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=50	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=51	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=52	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=53	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=54	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=55	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=56	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=57	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=58	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=59	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=60	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=61	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=62	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=63	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=64	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=65	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=66	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=67	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=68	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=69	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=70	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=71	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=72	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=73	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=74	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=75	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=76	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=77	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=78	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=79	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=80	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=81	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=82	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=83	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=84	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=85	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=86	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=87	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=88	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=89	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=90	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=91	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=92	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=93	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=94	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=95	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
gen=96	fitness=5.299571274056	chromosome=0111111101000111011001110101010110011001011000000111111101100100011111011110101001111111011110011000000001101010100000011111001001111111001000000111111110111010	decoded=[-0.028829, -0.986656, 1.015094, -0.024297, -0.083361, -0.021016, 0.016641, 0.077892, -0.034922, -0.010860]
