seed=28
gen=0	fitness=62.452881631583	chromosome=1000001110100010100101101011111001111011111001001001101101000011011110100100110010011001101000000111111010101001110010011111100101101011101101111010011001110000	decoded=[0.145393, 0.909780, -0.164299, 1.090564, -0.228050, 1.025094, -0.053516, 2.959030, -0.811341, 1.537602]
gen=20	fitness=23.321462801631	chromosome=1001100100000110011010001001000001111100111110000110101101101110011001011110000001111111011001000100110001101011100110000011101001100111001110011001011001100100	decoded=[1.001031, -0.937436, -0.121174, -0.822747, -1.044938, -0.024297, -2.063235, 0.969155, -0.991031, 0.895717]
gen=21	fitness=23.321462801631	chromosome=1001100100000110011010001001000001111100111110000110101101101110011001011110000001111111011001000100110001101011100110000011101001100111001110011001011001100100	decoded=[1.001031, -0.937436, -0.121174, -0.822747, -1.044938, -0.024297, -2.063235, 0.969155, -0.991031, 0.895717]
gen=22	fitness=21.283913414299	chromosome=0111111100010100100000011111110110110000110001001001100011100110100110110110101101101001010001100110011001011110011010110100000110010111000111011000000010000000	decoded=[-0.036797, 0.079611, 1.950733, 0.996031, 1.096814, -0.908998, -1.025250, -0.829778, 0.924623, 0.020078]
gen=23	fitness=15.661852876798	chromosome=1001011110001111100101110101011001111111111111101001011111101100011111111011010101111101001001111000000001010000100000010100111010010111010111111000010011000000	decoded=[0.942436, 0.933530, -0.000234, 0.956968, -0.011641, -0.113830, 0.012578, 0.052266, 0.934936, 0.190081]
gen=24	fitness=15.661852876798	chromosome=1001011110001111100101110101011001111111111111101001011111101100011111111011010101111101001001111000000001010000100000010100111010010111010111111000010011000000	decoded=[0.942436, 0.933530, -0.000234, 0.956968, -0.011641, -0.113830, 0.012578, 0.052266, 0.934936, 0.190081]
gen=25	fitness=15.661852876798	chromosome=1001011110001111100101110101011001111111111111101001011111101100011111111011010101111101001001111000000001010000100000010100111010010111010111111000010011000000	decoded=[0.942436, 0.933530, -0.000234, 0.956968, -0.011641, -0.113830, 0.012578, 0.052266, 0.934936, 0.190081]
gen=26	fitness=15.661852876798	chromosome=1001011110001111100101110101011001111111111111101001011111101100011111111011010101111101001001111000000001010000100000010100111010010111010111111000010011000000	decoded=[0.942436, 0.933530, -0.000234, 0.956968, -0.011641, -0.113830, 0.012578, 0.052266, 0.934936, 0.190081]
gen=27	fitness=15.661852876798	chromosome=1001011110001111100101110101011001111111111111101001011111101100011111111011010101111101001001111000000001010000100000010100111010010111010111111000010011000000	decoded=[0.942436, 0.933530, -0.000234, 0.956968, -0.011641, -0.113830, 0.012578, 0.052266, 0.934936, 0.190081]
gen=28	fitness=15.372855681485	chromosome=0111111110011110100000010111100001100101110010100111111111110000011001110111110010011100101011000111111110101101010011001010100101111111111001110110010101100000	decoded=[-0.015235, 0.058829, -1.048375, -0.002422, -0.980562, 1.146971, -0.012891, -2.053547, -0.003828, -1.064938]
gen=29	fitness=15.372855681485	chromosome=0111111110011110100000010111100001100101110010100111111111110000011001110111110010011100101011000111111110101101010011001010100101111111111001110110010101100000	decoded=[-0.015235, 0.058829, -1.048375, -0.002422, -0.980562, 1.146971, -0.012891, -2.053547, -0.003828, -1.064938]
gen=30	fitness=15.372855681485	chromosome=0111111110011110100000010111100001100101110010100111111111110000011001110111110010011100101011000111111110101101010011001010100101111111111001110110010101100000	decoded=[-0.015235, 0.058829, -1.048375, -0.002422, -0.980562, 1.146971, -0.012891, -2.053547, -0.003828, -1.064938]
gen=31	fitness=15.372855681485	chromosome=0111111110011110100000010111100001100101110010100111111111110000011001110111110010011100101011000111111110101101010011001010100101111111111001110110010101100000	decoded=[-0.015235, 0.058829, -1.048375, -0.002422, -0.980562, 1.146971, -0.012891, -2.053547, -0.003828, -1.064938]
gen=32	fitness=15.372855681485	chromosome=0111111110011110100000010111100001100101110010100111111111110000011001110111110010011100101011000111111110101101010011001010100101111111111001110110010101100000	decoded=[-0.015235, 0.058829, -1.048375, -0.002422, -0.980562, 1.146971, -0.012891, -2.053547, -0.003828, -1.064938]
gen=33	fitness=15.372855681485	chromosome=0111111110011110100000010111100001100101110010100111111111110000011001110111110010011100101011000111111110101101010011001010100101111111111001110110010101100000	decoded=[-0.015235, 0.058829, -1.048375, -0.002422, -0.980562, 1.146971, -0.012891, -2.053547, -0.003828, -1.064938]
gen=34	fitness=15.372855681485	chromosome=0111111110011110100000010111100001100101110010100111111111110000011001110111110010011100101011000111111110101101010011001010100101111111111001110110010101100000	decoded=[-0.015235, 0.058829, -1.048375, -0.002422, -0.980562, 1.146971, -0.012891, -2.053547, -0.003828, -1.064938]
gen=35	fitness=15.372855681485	chromosome=0111111110011110100000010111100001100101110010100111111111110000011001110111110010011100101011000111111110101101010011001010100101111111111001110110010101100000	decoded=[-0.015235, 0.058829, -1.048375, -0.002422, -0.980562, 1.146971, -0.012891, -2.053547, -0.003828, -1.064938]
gen=36	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=37	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=38	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=39	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=40	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=41	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=42	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=43	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=44	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=45	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=46	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=47	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=48	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=49	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=50	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=51	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=52	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=53	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=54	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=55	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=56	fitness=10.283828700655	chromosome=0111110111010111100101100101010001111111100100100111111100111100011111111010110101111110001111101001011100010010100000000111000110011000000110101001011111000000	decoded=[-0.086329, 0.893217, -0.017110, -0.030547, -0.012891, -0.070235, 0.922905, 0.017735, 0.964155, 0.950093]
gen=57	fitness=9.670001674008	chromosome=0111111110000110011010000001000101111101011110010111111100110110011001011110010101100100111011010111111111110000100110101011101001111111111010110111111101100000	decoded=[-0.018985, -0.957280, -0.101017, -0.031485, -1.044157, -1.082907, -0.002422, 1.069157, -0.003203, -0.024922]
gen=58	fitness=9.670001674008	chromosome=0111111110000110011010000001000101111101011110010111111100110110011001011110010101100100111011010111111111110000100110101011101001111111111010110111111101100000	decoded=[-0.018985, -0.957280, -0.101017, -0.031485, -1.044157, -1.082907, -0.002422, 1.069157, -0.003203, -0.024922]
gen=59	fitness=9.670001674008	chromosome=0111111110000110011010000001000101111101011110010111111100110110011001011110010101100100111011010111111111110000100110101011101001111111111010110111111101100000	decoded=[-0.018985, -0.957280, -0.101017, -0.031485, -1.044157, -1.082907, -0.002422, 1.069157, -0.003203, -0.024922]
gen=60	fitness=9.670001674008	chromosome=0111111110000110011010000001000101111101011110010111111100110110011001011110010101100100111011010111111111110000100110101011101001111111111010110111111101100000	decoded=[-0.018985, -0.957280, -0.101017, -0.031485, -1.044157, -1.082907, -0.002422, 1.069157, -0.003203, -0.024922]
gen=61	fitness=9.670001674008	chromosome=0111111110000110011010000001000101111101011110010111111100110110011001011110010101100100111011010111111111110000100110101011101001111111111010110111111101100000	decoded=[-0.018985, -0.957280, -0.101017, -0.031485, -1.044157, -1.082907, -0.002422, 1.069157, -0.003203, -0.024922]
gen=62	fitness=7.684894079521	chromosome=0111111111010001011111000100000001111111101111100111111101111101011111111000011101111111000111101001011110010010100000000011010101111110101011000110011101101011	decoded=[-0.007266, -0.149924, -0.010235, -0.020391, -0.018828, -0.035235, 0.942905, 0.008360, -0.053048, -0.983218]
gen=63	fitness=7.684894079521	chromosome=0111111111010001011111000100000001111111101111100111111101111101011111111000011101111111000111101001011110010010100000000011010101111110101011000110011101101011	decoded=[-0.007266, -0.149924, -0.010235, -0.020391, -0.018828, -0.035235, 0.942905, 0.008360, -0.053048, -0.983218]
gen=64	fitness=7.684894079521	chromosome=0111111111010001011111000100000001111111101111100111111101111101011111111000011101111111000111101001011110010010100000000011010101111110101011000110011101101011	decoded=[-0.007266, -0.149924, -0.010235, -0.020391, -0.018828, -0.035235, 0.942905, 0.008360, -0.053048, -0.983218]
gen=65	fitness=7.684894079521	chromosome=0111111111010001011111000100000001111111101111100111111101111101011111111000011101111111000111101001011110010010100000000011010101111110101011000110011101101011	decoded=[-0.007266, -0.149924, -0.010235, -0.020391, -0.018828, -0.035235, 0.942905, 0.008360, -0.053048, -0.983218]
gen=66	fitness=7.684894079521	chromosome=0111111111010001011111000100000001111111101111100111111101111101011111111000011101111111000111101001011110010010100000000011010101111110101011000110011101101011	decoded=[-0.007266, -0.149924, -0.010235, -0.020391, -0.018828, -0.035235, 0.942905, 0.008360, -0.053048, -0.983218]
gen=67	fitness=7.684894079521	chromosome=0111111111010001011111000100000001111111101111100111111101111101011111111000011101111111000111101001011110010010100000000011010101111110101011000110011101101011	decoded=[-0.007266, -0.149924, -0.010235, -0.020391, -0.018828, -0.035235, 0.942905, 0.008360, -0.053048, -0.983218]
gen=68	fitness=7.684894079521	chromosome=0111111111010001011111000100000001111111101111100111111101111101011111111000011101111111000111101001011110010010100000000011010101111110101011000110011101101011	decoded=[-0.007266, -0.149924, -0.010235, -0.020391, -0.018828, -0.035235, 0.942905, 0.008360, -0.053048, -0.983218]
gen=69	fitness=7.684894079521	chromosome=0111111111010001011111000100000001111111101111100111111101111101011111111000011101111111000111101001011110010010100000000011010101111110101011000110011101101011	decoded=[-0.007266, -0.149924, -0.010235, -0.020391, -0.018828, -0.035235, 0.942905, 0.008360, -0.053048, -0.983218]
gen=70	fitness=7.684894079521	chromosome=0111111111010001011111000100000001111111101111100111111101111101011111111000011101111111000111101001011110010010100000000011010101111110101011000110011101101011	decoded=[-0.007266, -0.149924, -0.010235, -0.020391, -0.018828, -0.035235, 0.942905, 0.008360, -0.053048, -0.983218]
gen=71	fitness=7.684894079521	chromosome=0111111111010001011111000100000001111111101111100111111101111101011111111000011101111111000111101001011110010010100000000011010101111110101011000110011101101011	decoded=[-0.007266, -0.149924, -0.010235, -0.020391, -0.018828, -0.035235, 0.942905, 0.008360, -0.053048, -0.983218]
gen=72	fitness=7.684894079521	chromosome=0111111111010001011111000100000001111111101111100111111101111101011111111000011101111111000111101001011110010010100000000011010101111110101011000110011101101011	decoded=[-0.007266, -0.149924, -0.010235, -0.020391, -0.018828, -0.035235, 0.942905, 0.008360, -0.053048, -0.983218]
gen=73	fitness=7.684894079521	chromosome=0111111111010001011111000100000001111111101111100111111101111101011111111000011101111111000111101001011110010010100000000011010101111110101011000110011101101011	decoded=[-0.007266, -0.149924, -0.010235, -0.020391, -0.018828, -0.035235, 0.942905, 0.008360, -0.053048, -0.983218]
gen=74	fitness=7.684894079521	chromosome=0111111111010001011111000100000001111111101111100111111101111101011111111000011101111111000111101001011110010010100000000011010101111110101011000110011101101011	decoded=[-0.007266, -0.149924, -0.010235, -0.020391, -0.018828, -0.035235, 0.942905, 0.008360, -0.053048, -0.983218]
gen=75	fitness=7.684894079521	chromosome=0111111111010001011111000100000001111111101111100111111101111101011111111000011101111111000111101001011110010010100000000011010101111110101011000110011101101011	decoded=[-0.007266, -0.149924, -0.010235, -0.020391, -0.018828, -0.035235, 0.942905, 0.008360, -0.053048, -0.983218]
gen=76	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=77	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=78	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=79	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=80	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=81	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=82	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=83	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=84	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=85	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=86	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=87	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=88	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=89	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=90	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=91	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=92	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=93	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=94	fitness=6.071418939794	chromosome=0111111110110000100101011111101001111111101110100111111110110110011111110011010101111110000001111000000001010010100000000010110101111111111011000110011101101001	decoded=[-0.012422, 0.879154, -0.010860, -0.011485, -0.031641, -0.078829, 0.012891, 0.007109, -0.003047, -0.983531]
gen=95	fitness=5.931847540243	chromosome=0110011001001110011111111011101001111111101110100111111010110111011111110011010101111110000001111000000011010010100000100010111101111111101001010110011101101001	decoded=[-1.027750, -0.010860, -0.010860, -0.051329, -0.031641, -0.078829, 0.032891, 0.087423, -0.014141, -0.983531]
gen=96	fitness=5.931847540243	chromosome=0110011001001110011111111011101001111111101110100111111010110111011111110011010101111110000001111000000011010010100000100010111101111111101001010110011101101001	decoded=[-1.027750, -0.010860, -0.010860, -0.051329, -0.031641, -0.078829, 0.032891, 0.087423, -0.014141, -0.983531]
