seed=12
gen=0	fitness=96.303866039538	position=[1.862508, -2.015270, 1.505915, 2.118342, 1.078869, -1.445143, -2.759247, 0.929651, -1.961022, -2.992306]
gen=27	fitness=12.322460767293	position=[0.031607, -2.079110, -0.030874, 0.937043, 0.101133, -0.986576, 0.046413, 0.015758, 0.964530, 0.025732]
gen=28	fitness=12.322460767293	position=[0.031607, -2.079110, -0.030874, 0.937043, 0.101133, -0.986576, 0.046413, 0.015758, 0.964530, 0.025732]
gen=29	fitness=12.322460767293	position=[0.031607, -2.079110, -0.030874, 0.937043, 0.101133, -0.986576, 0.046413, 0.015758, 0.964530, 0.025732]
gen=30	fitness=12.322460767293	position=[0.031607, -2.079110, -0.030874, 0.937043, 0.101133, -0.986576, 0.046413, 0.015758, 0.964530, 0.025732]
gen=31	fitness=12.322460767293	position=[0.031607, -2.079110, -0.030874, 0.937043, 0.101133, -0.986576, 0.046413, 0.015758, 0.964530, 0.025732]
gen=32	fitness=12.322460767293	position=[0.031607, -2.079110, -0.030874, 0.937043, 0.101133, -0.986576, 0.046413, 0.015758, 0.964530, 0.025732]
gen=33	fitness=11.184713351670	position=[-0.039583, -2.031252, 0.008615, 0.943981, -0.050447, -1.063067, 0.076794, -0.036649, 0.996219, 0.033707]
gen=34	fitness=11.184713351670	position=[-0.039583, -2.031252, 0.008615, 0.943981, -0.050447, -1.063067, 0.076794, -0.036649, 0.996219, 0.033707]
gen=35	fitness=11.184713351670	position=[-0.039583, -2.031252, 0.008615, 0.943981, -0.050447, -1.063067, 0.076794, -0.036649, 0.996219, 0.033707]
gen=36	fitness=11.173881375287	position=[-0.030176, -2.015963, 0.018980, 0.939079, -0.040927, -1.060088, 0.037398, -0.088545, 0.959142, -0.004534]
gen=37	fitness=11.173881375287	position=[-0.030176, -2.015963, 0.018980, 0.939079, -0.040927, -1.060088, 0.037398, -0.088545, 0.959142, -0.004534]
gen=38	fitness=11.173881375287	position=[-0.030176, -2.015963, 0.018980, 0.939079, -0.040927, -1.060088, 0.037398, -0.088545, 0.959142, -0.004534]
gen=39	fitness=11.173881375287	position=[-0.030176, -2.015963, 0.018980, 0.939079, -0.040927, -1.060088, 0.037398, -0.088545, 0.959142, -0.004534]
gen=40	fitness=10.151917554131	position=[-0.012358, -1.993486, -0.028251, 0.954914, -0.056981, -1.019200, 0.016122, -0.014996, 0.905143, -0.037831]
gen=41	fitness=10.151917554131	position=[-0.012358, -1.993486, -0.028251, 0.954914, -0.056981, -1.019200, 0.016122, -0.014996, 0.905143, -0.037831]
gen=42	fitness=10.151917554131	position=[-0.012358, -1.993486, -0.028251, 0.954914, -0.056981, -1.019200, 0.016122, -0.014996, 0.905143, -0.037831]
gen=43	fitness=10.151917554131	position=[-0.012358, -1.993486, -0.028251, 0.954914, -0.056981, -1.019200, 0.016122, -0.014996, 0.905143, -0.037831]
gen=44	fitness=10.151917554131	position=[-0.012358, -1.993486, -0.028251, 0.954914, -0.056981, -1.019200, 0.016122, -0.014996, 0.905143, -0.037831]
gen=45	fitness=10.151917554131	position=[-0.012358, -1.993486, -0.028251, 0.954914, -0.056981, -1.019200, 0.016122, -0.014996, 0.905143, -0.037831]
gen=46	fitness=10.151917554131	position=[-0.012358, -1.993486, -0.028251, 0.954914, -0.056981, -1.019200, 0.016122, -0.014996, 0.905143, -0.037831]
gen=47	fitness=10.151917554131	position=[-0.012358, -1.993486, -0.028251, 0.954914, -0.056981, -1.019200, 0.016122, -0.014996, 0.905143, -0.037831]
gen=48	fitness=10.151917554131	position=[-0.012358, -1.993486, -0.028251, 0.954914, -0.056981, -1.019200, 0.016122, -0.014996, 0.905143, -0.037831]
gen=49	fitness=10.052781103972	position=[-0.036184, -2.004419, -0.059083, 0.960184, -0.041049, -1.034958, 0.033238, 0.040524, 0.997943, 0.058513]
gen=50	fitness=10.052781103972	position=[-0.036184, -2.004419, -0.059083, 0.960184, -0.041049, -1.034958, 0.033238, 0.040524, 0.997943, 0.058513]
gen=51	fitness=10.052781103972	position=[-0.036184, -2.004419, -0.059083, 0.960184, -0.041049, -1.034958, 0.033238, 0.040524, 0.997943, 0.058513]
gen=52	fitness=10.052781103972	position=[-0.036184, -2.004419, -0.059083, 0.960184, -0.041049, -1.034958, 0.033238, 0.040524, 0.997943, 0.058513]
gen=53	fitness=10.052781103972	position=[-0.036184, -2.004419, -0.059083, 0.960184, -0.041049, -1.034958, 0.033238, 0.040524, 0.997943, 0.058513]
gen=54	fitness=9.352272641412	position=[-0.023500, -1.989049, -0.022166, 1.002591, -0.055487, -1.040988, 0.044550, 0.045263, 0.971656, 0.035122]
gen=55	fitness=8.936308076416	position=[0.003359, -1.967793, 0.020332, 0.946398, -0.012268, -0.980909, 0.048771, -0.048616, 0.965412, 0.027878]
gen=56	fitness=8.936308076416	position=[0.003359, -1.967793, 0.020332, 0.946398, -0.012268, -0.980909, 0.048771, -0.048616, 0.965412, 0.027878]
gen=57	fitness=8.936308076416	position=[0.003359, -1.967793, 0.020332, 0.946398, -0.012268, -0.980909, 0.048771, -0.048616, 0.965412, 0.027878]
gen=58	fitness=8.936308076416	position=[0.003359, -1.967793, 0.020332, 0.946398, -0.012268, -0.980909, 0.048771, -0.048616, 0.965412, 0.027878]
gen=59	fitness=8.933296660927	position=[-0.007939, -1.986869, 0.009347, 0.951922, -0.034906, -1.014251, 0.037166, -0.047165, 0.942197, -0.003425]
gen=60	fitness=8.933296660927	position=[-0.007939, -1.986869, 0.009347, 0.951922, -0.034906, -1.014251, 0.037166, -0.047165, 0.942197, -0.003425]
gen=61	fitness=8.933296660927	position=[-0.007939, -1.986869, 0.009347, 0.951922, -0.034906, -1.014251, 0.037166, -0.047165, 0.942197, -0.003425]
gen=62	fitness=8.792781377636	position=[-0.007278, -2.015287, 0.008609, 1.001200, -0.039485, -1.017244, -0.004346, -0.025866, 0.939739, -0.051849]
gen=63	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=64	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=65	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=66	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=67	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=68	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=69	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=70	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=71	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=72	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=73	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=74	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=75	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=76	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=77	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=78	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=79	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=80	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=81	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=82	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=83	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=84	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=85	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=86	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=87	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=88	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=89	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=90	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=91	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=92	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=93	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=94	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=95	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=96	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=97	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=98	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=99	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=100	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=101	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=102	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=103	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=104	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=105	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=106	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=107	fitness=7.557501140522	position=[0.027998, -1.990325, 0.016654, 0.963082, -0.010545, -0.994057, 0.005366, 0.017099, 1.015275, -0.008566]
gen=108	fitness=7.450464124779	position=[0.014997, -1.976894, 0.008430, 0.974768, -0.009455, -0.998843, -0.004365, 0.020844, 0.989301, -0.031486]
gen=109	fitness=7.450464124779	position=[0.014997, -1.976894, 0.008430, 0.974768, -0.009455, -0.998843, -0.004365, 0.020844, 0.989301, -0.031486]
gen=110	fitness=7.450464124779	position=[0.014997, -1.976894, 0.008430, 0.974768, -0.009455, -0.998843, -0.004365, 0.020844, 0.989301, -0.031486]
gen=111	fitness=7.450464124779	position=[0.014997, -1.976894, 0.008430, 0.974768, -0.009455, -0.998843, -0.004365, 0.020844, 0.989301, -0.031486]
gen=112	fitness=7.450464124779	position=[0.014997, -1.976894, 0.008430, 0.974768, -0.009455, -0.998843, -0.004365, 0.020844, 0.989301, -0.031486]
gen=113	fitness=7.450464124779	position=[0.014997, -1.976894, 0.008430, 0.974768, -0.009455, -0.998843, -0.004365, 0.020844, 0.989301, -0.031486]
gen=114	fitness=7.450464124779	position=[0.014997, -1.976894, 0.008430, 0.974768, -0.009455, -0.998843, -0.004365, 0.020844, 0.989301, -0.031486]
gen=115	fitness=7.450464124779	position=[0.014997, -1.976894, 0.008430, 0.974768, -0.009455, -0.998843, -0.004365, 0.020844, 0.989301, -0.031486]
gen=116	fitness=7.450464124779	position=[0.014997, -1.976894, 0.008430, 0.974768, -0.009455, -0.998843, -0.004365, 0.020844, 0.989301, -0.031486]
gen=117	fitness=7.450464124779	position=[0.014997, -1.976894, 0.008430, 0.974768, -0.009455, -0.998843, -0.004365, 0.020844, 0.989301, -0.031486]
gen=118	fitness=7.450464124779	position=[0.014997, -1.976894, 0.008430, 0.974768, -0.009455, -0.998843, -0.004365, 0.020844, 0.989301, -0.031486]
gen=119	fitness=7.450464124779	position=[0.014997, -1.976894, 0.008430, 0.974768, -0.009455, -0.998843, -0.004365, 0.020844, 0.989301, -0.031486]
gen=120	fitness=7.450464124779	position=[0.014997, -1.976894, 0.008430, 0.974768, -0.009455, -0.998843, -0.004365, 0.020844, 0.989301, -0.031486]
gen=121	fitness=7.450464124779	position=[0.014997, -1.976894, 0.008430, 0.974768, -0.009455, -0.998843, -0.004365, 0.020844, 0.989301, -0.031486]
gen=122	fitness=7.450464124779	position=[0.014997, -1.976894, 0.008430, 0.974768, -0.009455, -0.998843, -0.004365, 0.020844, 0.989301, -0.031486]
gen=123	fitness=7.450464124779	position=[0.014997, -1.976894, 0.008430, 0.974768, -0.009455, -0.998843, -0.004365, 0.020844, 0.989301, -0.031486]
gen=124	fitness=7.450464124779	position=[0.014997, -1.976894, 0.008430, 0.974768, -0.009455, -0.998843, -0.004365, 0.020844, 0.989301, -0.031486]
gen=125	fitness=7.450464124779	position=[0.014997, -1.976894, 0.008430, 0.974768, -0.009455, -0.998843, -0.004365, 0.020844, 0.989301, -0.031486]
gen=126	fitness=7.226388449826	position=[0.012148, -1.987281, 0.008385, 0.971166, -0.002995, -0.995399, 0.003385, 0.010992, 1.007401, -0.015311]
gen=127	fitness=7.226388449826	position=[0.012148, -1.987281, 0.008385, 0.971166, -0.002995, -0.995399, 0.003385, 0.010992, 1.007401, -0.015311]
gen=128	fitness=7.226388449826	position=[0.012148, -1.987281, 0.008385, 0.971166, -0.002995, -0.995399, 0.003385, 0.010992, 1.007401, -0.015311]
gen=129	fitness=7.226388449826	position=[0.012148, -1.987281, 0.008385, 0.971166, -0.002995, -0.995399, 0.003385, 0.010992, 1.007401, -0.015311]
gen=130	fitness=7.226388449826	position=[0.012148, -1.987281, 0.008385, 0.971166, -0.002995, -0.995399, 0.003385, 0.010992, 1.007401, -0.015311]
gen=131	fitness=7.226388449826	position=[0.012148, -1.987281, 0.008385, 0.971166, -0.002995, -0.995399, 0.003385, 0.010992, 1.007401, -0.015311]
gen=132	fitness=7.226388449826	position=[0.012148, -1.987281, 0.008385, 0.971166, -0.002995, -0.995399, 0.003385, 0.010992, 1.007401, -0.015311]
gen=133	fitness=7.204457787122	position=[0.010027, -1.979374, 0.000936, 0.982666, 0.001097, -0.991592, -0.002248, 0.014802, 0.994574, -0.024702]
gen=134	fitness=7.204457787122	position=[0.010027, -1.979374, 0.000936, 0.982666, 0.001097, -0.991592, -0.002248, 0.014802, 0.994574, -0.024702]
gen=135	fitness=7.204457787122	position=[0.010027, -1.979374, 0.000936, 0.982666, 0.001097, -0.991592, -0.002248, 0.014802, 0.994574, -0.024702]
gen=136	fitness=7.204457787122	position=[0.010027, -1.979374, 0.000936, 0.982666, 0.001097, -0.991592, -0.002248, 0.014802, 0.994574, -0.024702]
gen=137	fitness=7.204457787122	position=[0.010027, -1.979374, 0.000936, 0.982666, 0.001097, -0.991592, -0.002248, 0.014802, 0.994574, -0.024702]
gen=138	fitness=7.204457787122	position=[0.010027, -1.979374, 0.000936, 0.982666, 0.001097, -0.991592, -0.002248, 0.014802, 0.994574, -0.024702]
gen=139	fitness=7.204457787122	position=[0.010027, -1.979374, 0.000936, 0.982666, 0.001097, -0.991592, -0.002248, 0.014802, 0.994574, -0.024702]
gen=140	fitness=7.204457787122	position=[0.010027, -1.979374, 0.000936, 0.982666, 0.001097, -0.991592, -0.002248, 0.014802, 0.994574, -0.024702]
gen=141	fitness=7.204457787122	position=[0.010027, -1.979374, 0.000936, 0.982666, 0.001097, -0.991592, -0.002248, 0.014802, 0.994574, -0.024702]
gen=142	fitness=7.204457787122	position=[0.010027, -1.979374, 0.000936, 0.982666, 0.001097, -0.991592, -0.002248, 0.014802, 0.994574, -0.024702]
gen=143	fitness=7.204457787122	position=[0.010027, -1.979374, 0.000936, 0.982666, 0.001097, -0.991592, -0.002248, 0.014802, 0.994574, -0.024702]
gen=144	fitness=7.204457787122	position=[0.010027, -1.979374, 0.000936, 0.982666, 0.001097, -0.991592, -0.002248, 0.014802, 0.994574, -0.024702]
gen=145	fitness=7.204457787122	position=[0.010027, -1.979374, 0.000936, 0.982666, 0.001097, -0.991592, -0.002248, 0.014802, 0.994574, -0.024702]
gen=146	fitness=7.204457787122	position=[0.010027, -1.979374, 0.000936, 0.982666, 0.001097, -0.991592, -0.002248, 0.014802, 0.994574, -0.024702]
gen=147	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=148	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=149	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=150	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=151	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=152	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=153	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=154	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=155	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=156	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=157	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=158	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=159	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=160	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=161	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=162	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=163	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=164	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=165	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=166	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=167	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=168	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=169	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=170	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=171	fitness=7.154122721672	position=[0.007086, -1.979999, -0.004923, 0.989315, 0.008411, -0.986138, -0.001696, 0.011765, 0.996328, -0.021442]
gen=172	fitness=7.125459834251	position=[0.014861, -1.983787, -0.010258, 0.994678, -0.002160, -1.001482, 0.004885, 0.004236, 0.999568, -0.018358]
gen=173	fitness=7.125459834251	position=[0.014861, -1.983787, -0.010258, 0.994678, -0.002160, -1.001482, 0.004885, 0.004236, 0.999568, -0.018358]
gen=174	fitness=7.125459834251	position=[0.014861, -1.983787, -0.010258, 0.994678, -0.002160, -1.001482, 0.004885, 0.004236, 0.999568, -0.018358]
