seed=4
gen=0	fitness=90.439355691299	position=[-2.832655, -1.798685, -0.178130, -1.150469, -3.354924, 0.054851, -0.045177, -1.024174, -0.813961, -1.624604]
gen=13	fitness=45.370087704004	position=[-1.048595, 0.090140, -0.043597, -1.099563, -0.195141, 1.968361, -1.007055, -0.262762, -3.091344, -0.165752]
gen=14	fitness=40.370795847127	position=[-1.074634, 0.018713, -0.109952, -1.076858, 0.007700, 1.962724, -1.116024, -0.224831, -3.170720, -0.096263]
gen=15	fitness=40.370795847127	position=[-1.074634, 0.018713, -0.109952, -1.076858, 0.007700, 1.962724, -1.116024, -0.224831, -3.170720, -0.096263]
gen=16	fitness=38.773651002350	position=[-1.174305, -0.020648, 0.023405, -1.148037, -0.066836, 2.026972, -1.154089, -0.090458, -3.092695, -0.123024]
gen=17	fitness=29.863600854735	position=[-1.082874, 0.060309, -0.161133, -1.089522, 0.036168, 1.960020, -1.053186, -0.119746, -3.069158, 0.017074]
gen=18	fitness=29.863600854735	position=[-1.082874, 0.060309, -0.161133, -1.089522, 0.036168, 1.960020, -1.053186, -0.119746, -3.069158, 0.017074]
gen=19	fitness=21.547777737742	position=[-1.053819, -0.038611, 0.040322, -0.973222, -0.119189, 1.935434, -0.962904, -0.052392, -2.995361, 0.032308]
gen=20	fitness=21.547777737742	position=[-1.053819, -0.038611, 0.040322, -0.973222, -0.119189, 1.935434, -0.962904, -0.052392, -2.995361, 0.032308]
gen=21	fitness=21.547777737742	position=[-1.053819, -0.038611, 0.040322, -0.973222, -0.119189, 1.935434, -0.962904, -0.052392, -2.995361, 0.032308]
gen=22	fitness=21.547777737742	position=[-1.053819, -0.038611, 0.040322, -0.973222, -0.119189, 1.935434, -0.962904, -0.052392, -2.995361, 0.032308]
gen=23	fitness=20.099442988557	position=[-1.048304, -0.020821, 0.033199, -1.037856, -0.085472, 1.971571, -1.004567, -0.076384, -3.023758, 0.009146]
gen=24	fitness=20.099442988557	position=[-1.048304, -0.020821, 0.033199, -1.037856, -0.085472, 1.971571, -1.004567, -0.076384, -3.023758, 0.009146]
gen=25	fitness=20.099442988557	position=[-1.048304, -0.020821, 0.033199, -1.037856, -0.085472, 1.971571, -1.004567, -0.076384, -3.023758, 0.009146]
gen=26	fitness=20.099442988557	position=[-1.048304, -0.020821, 0.033199, -1.037856, -0.085472, 1.971571, -1.004567, -0.076384, -3.023758, 0.009146]
gen=27	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=28	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=29	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=30	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=31	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=32	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=33	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=34	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=35	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=36	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=37	fitness=19.228265853759	position=[-0.989399, -0.055404, 0.036132, -1.042958, -0.064604, 1.990693, -1.001669, -0.073230, -2.968501, -0.017883]
gen=38	fitness=18.969605407600	position=[-1.017267, -0.043848, 0.020989, -1.037593, -0.067444, 1.976849, -1.009978, -0.076663, -2.993386, -0.001347]
gen=39	fitness=18.001245596896	position=[-1.020314, -0.064401, -0.008149, -1.035683, -0.017030, 1.956863, -0.965917, -0.029105, -2.975097, 0.029895]
gen=40	fitness=17.915199493632	position=[-1.002637, -0.064739, 0.025864, -1.024225, -0.046238, 1.978711, -0.987388, -0.042839, -2.993599, -0.011788]
gen=41	fitness=17.915199493632	position=[-1.002637, -0.064739, 0.025864, -1.024225, -0.046238, 1.978711, -0.987388, -0.042839, -2.993599, -0.011788]
gen=42	fitness=17.915199493632	position=[-1.002637, -0.064739, 0.025864, -1.024225, -0.046238, 1.978711, -0.987388, -0.042839, -2.993599, -0.011788]
gen=43	fitness=17.915199493632	position=[-1.002637, -0.064739, 0.025864, -1.024225, -0.046238, 1.978711, -0.987388, -0.042839, -2.993599, -0.011788]
gen=44	fitness=17.915199493632	position=[-1.002637, -0.064739, 0.025864, -1.024225, -0.046238, 1.978711, -0.987388, -0.042839, -2.993599, -0.011788]
gen=45	fitness=17.915199493632	position=[-1.002637, -0.064739, 0.025864, -1.024225, -0.046238, 1.978711, -0.987388, -0.042839, -2.993599, -0.011788]
gen=46	fitness=17.915199493632	position=[-1.002637, -0.064739, 0.025864, -1.024225, -0.046238, 1.978711, -0.987388, -0.042839, -2.993599, -0.011788]
gen=47	fitness=17.854749879228	position=[-1.011242, -0.064578, 0.011925, -1.026028, -0.032773, 1.970975, -0.977847, -0.045094, -2.999657, -0.017717]
gen=48	fitness=17.854749879228	position=[-1.011242, -0.064578, 0.011925, -1.026028, -0.032773, 1.970975, -0.977847, -0.045094, -2.999657, -0.017717]
gen=49	fitness=17.854749879228	position=[-1.011242, -0.064578, 0.011925, -1.026028, -0.032773, 1.970975, -0.977847, -0.045094, -2.999657, -0.017717]
gen=50	fitness=17.854749879228	position=[-1.011242, -0.064578, 0.011925, -1.026028, -0.032773, 1.970975, -0.977847, -0.045094, -2.999657, -0.017717]
gen=51	fitness=17.854749879228	position=[-1.011242, -0.064578, 0.011925, -1.026028, -0.032773, 1.970975, -0.977847, -0.045094, -2.999657, -0.017717]
gen=52	fitness=17.320257795338	position=[-0.993945, -0.062619, 0.010783, -1.026533, -0.028880, 1.975993, -0.992046, -0.023108, -3.007478, -0.000911]
gen=53	fitness=17.017660444629	position=[-1.005293, -0.026108, -0.011128, -1.020939, -0.006779, 2.008045, -0.977270, -0.010175, -3.037834, -0.019074]
gen=54	fitness=17.017660444629	position=[-1.005293, -0.026108, -0.011128, -1.020939, -0.006779, 2.008045, -0.977270, -0.010175, -3.037834, -0.019074]
gen=55	fitness=17.017660444629	position=[-1.005293, -0.026108, -0.011128, -1.020939, -0.006779, 2.008045, -0.977270, -0.010175, -3.037834, -0.019074]
gen=56	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=57	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=58	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=59	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=60	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=61	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=62	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=63	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=64	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=65	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=66	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=67	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=68	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=69	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=70	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=71	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=72	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=73	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=74	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=75	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=76	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=77	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=78	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=79	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=80	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=81	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=82	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=83	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=84	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=85	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=86	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=87	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=88	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=89	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=90	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=91	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=92	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=93	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=94	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=95	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=96	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=97	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=98	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=99	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=100	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=101	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=102	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=103	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=104	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=105	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=106	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=107	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=108	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=109	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=110	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=111	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=112	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=113	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=114	fitness=14.137939255669	position=[-0.978243, -0.058447, -0.005820, -1.013863, -0.027188, 0.987857, -1.002805, -0.026284, -2.964595, -0.008567]
gen=115	fitness=14.133975381889	position=[-0.968498, -0.040138, 0.010291, -1.015481, -0.003382, 0.953253, -0.983561, -0.028091, -2.966946, -0.015818]
gen=116	fitness=14.133975381889	position=[-0.968498, -0.040138, 0.010291, -1.015481, -0.003382, 0.953253, -0.983561, -0.028091, -2.966946, -0.015818]
gen=117	fitness=14.133975381889	position=[-0.968498, -0.040138, 0.010291, -1.015481, -0.003382, 0.953253, -0.983561, -0.028091, -2.966946, -0.015818]
gen=118	fitness=14.133975381889	position=[-0.968498, -0.040138, 0.010291, -1.015481, -0.003382, 0.953253, -0.983561, -0.028091, -2.966946, -0.015818]
gen=119	fitness=14.133975381889	position=[-0.968498, -0.040138, 0.010291, -1.015481, -0.003382, 0.953253, -0.983561, -0.028091, -2.966946, -0.015818]
gen=120	fitness=14.133975381889	position=[-0.968498, -0.040138, 0.010291, -1.015481, -0.003382, 0.953253, -0.983561, -0.028091, -2.966946, -0.015818]
gen=121	fitness=14.133975381889	position=[-0.968498, -0.040138, 0.010291, -1.015481, -0.003382, 0.953253, -0.983561, -0.028091, -2.966946, -0.015818]
gen=122	fitness=14.133975381889	position=[-0.968498, -0.040138, 0.010291, -1.015481, -0.003382, 0.953253, -0.983561, -0.028091, -2.966946, -0.015818]
gen=123	fitness=13.925335332522	position=[-0.980729, -0.046146, -0.005096, -1.012499, -0.020272, 0.962691, -1.006766, -0.025494, -2.974367, 0.001383]
gen=124	fitness=13.837156679564	position=[-0.971449, -0.035810, 0.005864, -1.018644, -0.002326, 0.984734, -0.986831, -0.038189, -2.971354, -0.017887]
gen=125	fitness=13.837156679564	position=[-0.971449, -0.035810, 0.005864, -1.018644, -0.002326, 0.984734, -0.986831, -0.038189, -2.971354, -0.017887]
gen=126	fitness=13.837156679564	position=[-0.971449, -0.035810, 0.005864, -1.018644, -0.002326, 0.984734, -0.986831, -0.038189, -2.971354, -0.017887]
gen=127	fitness=13.837156679564	position=[-0.971449, -0.035810, 0.005864, -1.018644, -0.002326, 0.984734, -0.986831, -0.038189, -2.971354, -0.017887]
gen=128	fitness=13.837156679564	position=[-0.971449, -0.035810, 0.005864, -1.018644, -0.002326, 0.984734, -0.986831, -0.038189, -2.971354, -0.017887]
gen=129	fitness=13.837156679564	position=[-0.971449, -0.035810, 0.005864, -1.018644, -0.002326, 0.984734, -0.986831, -0.038189, -2.971354, -0.017887]
gen=130	fitness=13.837156679564	position=[-0.971449, -0.035810, 0.005864, -1.018644, -0.002326, 0.984734, -0.986831, -0.038189, -2.971354, -0.017887]
gen=131	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=132	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=133	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=134	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=135	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=136	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=137	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=138	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=139	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=140	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=141	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=142	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=143	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=144	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=145	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=146	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=147	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=148	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=149	fitness=13.195189868917	position=[-0.966116, -0.001617, -0.032720, -1.025898, -0.003518, -0.025706, -1.047006, -0.009993, -2.983285, -0.003110]
gen=150	fitness=13.195189868917	position=[-0.966116, -0.001617, -0.032720, -1.025898, -0.003518, -0.025706, -1.047006, -0.009993, -2.983285, -0.003110]
gen=151	fitness=13.195189868917	position=[-0.966116, -0.001617, -0.032720, -1.025898, -0.003518, -0.025706, -1.047006, -0.009993, -2.983285, -0.003110]
gen=152	fitness=13.195189868917	position=[-0.966116, -0.001617, -0.032720, -1.025898, -0.003518, -0.025706, -1.047006, -0.009993, -2.983285, -0.003110]
gen=153	fitness=13.195189868917	position=[-0.966116, -0.001617, -0.032720, -1.025898, -0.003518, -0.025706, -1.047006, -0.009993, -2.983285, -0.003110]
gen=154	fitness=13.195189868917	position=[-0.966116, -0.001617, -0.032720, -1.025898, -0.003518, -0.025706, -1.047006, -0.009993, -2.983285, -0.003110]
gen=155	fitness=13.195189868917	position=[-0.966116, -0.001617, -0.032720, -1.025898, -0.003518, -0.025706, -1.047006, -0.009993, -2.983285, -0.003110]
gen=156	fitness=13.195189868917	position=[-0.966116, -0.001617, -0.032720, -1.025898, -0.003518, -0.025706, -1.047006, -0.009993, -2.983285, -0.003110]
gen=157	fitness=13.195189868917	position=[-0.966116, -0.001617, -0.032720, -1.025898, -0.003518, -0.025706, -1.047006, -0.009993, -2.983285, -0.003110]
gen=158	fitness=13.134802798973	position=[-0.962264, -0.004412, -0.030493, -1.026830, -0.005330, -0.024381, -1.043362, -0.006001, -2.981241, 0.000513]
gen=159	fitness=13.134802798973	position=[-0.962264, -0.004412, -0.030493, -1.026830, -0.005330, -0.024381, -1.043362, -0.006001, -2.981241, 0.000513]
gen=160	fitness=13.134802798973	position=[-0.962264, -0.004412, -0.030493, -1.026830, -0.005330, -0.024381, -1.043362, -0.006001, -2.981241, 0.000513]
gen=161	fitness=13.134802798973	position=[-0.962264, -0.004412, -0.030493, -1.026830, -0.005330, -0.024381, -1.043362, -0.006001, -2.981241, 0.000513]
gen=162	fitness=13.134802798973	position=[-0.962264, -0.004412, -0.030493, -1.026830, -0.005330, -0.024381, -1.043362, -0.006001, -2.981241, 0.000513]
gen=163	fitness=13.134802798973	position=[-0.962264, -0.004412, -0.030493, -1.026830, -0.005330, -0.024381, -1.043362, -0.006001, -2.981241, 0.000513]
gen=164	fitness=13.016125817587	position=[-0.955182, 0.026860, -0.013627, -1.030491, 0.025364, -0.003036, -1.019949, -0.015780, -2.986657, -0.012871]
gen=165	fitness=13.016125817587	position=[-0.955182, 0.026860, -0.013627, -1.030491, 0.025364, -0.003036, -1.019949, -0.015780, -2.986657, -0.012871]
gen=166	fitness=12.882410262030	position=[-0.970553, 0.010176, -0.029271, -1.022273, 0.024969, 0.001530, -1.025931, -0.028208, -2.991015, -0.006543]
gen=167	fitness=12.882410262030	position=[-0.970553, 0.010176, -0.029271, -1.022273, 0.024969, 0.001530, -1.025931, -0.028208, -2.991015, -0.006543]
gen=168	fitness=12.882410262030	position=[-0.970553, 0.010176, -0.029271, -1.022273, 0.024969, 0.001530, -1.025931, -0.028208, -2.991015, -0.006543]
gen=169	fitness=12.882410262030	position=[-0.970553, 0.010176, -0.029271, -1.022273, 0.024969, 0.001530, -1.025931, -0.028208, -2.991015, -0.006543]
gen=170	fitness=12.882410262030	position=[-0.970553, 0.010176, -0.029271, -1.022273, 0.024969, 0.001530, -1.025931, -0.028208, -2.991015, -0.006543]
gen=171	fitness=12.882410262030	position=[-0.970553, 0.010176, -0.029271, -1.022273, 0.024969, 0.001530, -1.025931, -0.028208, -2.991015, -0.006543]
gen=172	fitness=12.882410262030	position=[-0.970553, 0.010176, -0.029271, -1.022273, 0.024969, 0.001530, -1.025931, -0.028208, -2.991015, -0.006543]
