seed=6
gen=0	fitness=86.220642446540	position=[1.118872, 0.173372, 0.211106, -0.304828, 3.130810, -0.809658, -1.062235, -2.725639, -2.222407, -1.057890]
gen=19	fitness=16.788455424489	position=[0.887911, -1.029989, 1.073557, -0.018874, 0.994942, -0.115230, 0.040939, -2.039110, 0.053126, -1.030869]
gen=20	fitness=14.518346357007	position=[0.997549, -0.980357, 1.024412, -0.081342, 0.851426, -0.019631, 0.001371, -1.990117, -0.030033, -0.982893]
gen=21	fitness=12.507803136605	position=[0.992084, -1.019772, 1.006095, -0.043226, 0.905749, -0.015108, -0.031116, -1.999507, -0.073793, -1.026095]
gen=22	fitness=12.507803136605	position=[0.992084, -1.019772, 1.006095, -0.043226, 0.905749, -0.015108, -0.031116, -1.999507, -0.073793, -1.026095]
gen=23	fitness=12.507803136605	position=[0.992084, -1.019772, 1.006095, -0.043226, 0.905749, -0.015108, -0.031116, -1.999507, -0.073793, -1.026095]
gen=24	fitness=12.507803136605	position=[0.992084, -1.019772, 1.006095, -0.043226, 0.905749, -0.015108, -0.031116, -1.999507, -0.073793, -1.026095]
gen=25	fitness=12.507803136605	position=[0.992084, -1.019772, 1.006095, -0.043226, 0.905749, -0.015108, -0.031116, -1.999507, -0.073793, -1.026095]
gen=26	fitness=12.507803136605	position=[0.992084, -1.019772, 1.006095, -0.043226, 0.905749, -0.015108, -0.031116, -1.999507, -0.073793, -1.026095]
gen=27	fitness=12.232626950252	position=[0.995394, -0.954091, 1.003209, -0.035058, 0.946440, -0.017864, -0.014672, -2.032379, -0.084079, -1.039850]
gen=28	fitness=12.232626950252	position=[0.995394, -0.954091, 1.003209, -0.035058, 0.946440, -0.017864, -0.014672, -2.032379, -0.084079, -1.039850]
gen=29	fitness=12.232626950252	position=[0.995394, -0.954091, 1.003209, -0.035058, 0.946440, -0.017864, -0.014672, -2.032379, -0.084079, -1.039850]
gen=30	fitness=12.232626950252	position=[0.995394, -0.954091, 1.003209, -0.035058, 0.946440, -0.017864, -0.014672, -2.032379, -0.084079, -1.039850]
gen=31	fitness=12.232626950252	position=[0.995394, -0.954091, 1.003209, -0.035058, 0.946440, -0.017864, -0.014672, -2.032379, -0.084079, -1.039850]
gen=32	fitness=12.232626950252	position=[0.995394, -0.954091, 1.003209, -0.035058, 0.946440, -0.017864, -0.014672, -2.032379, -0.084079, -1.039850]
gen=33	fitness=12.232626950252	position=[0.995394, -0.954091, 1.003209, -0.035058, 0.946440, -0.017864, -0.014672, -2.032379, -0.084079, -1.039850]
gen=34	fitness=11.999496878941	position=[1.005555, -0.960045, 1.019376, -0.016793, 0.949558, -0.020559, -0.020557, -2.021204, -0.080170, -1.049841]
gen=35	fitness=11.999496878941	position=[1.005555, -0.960045, 1.019376, -0.016793, 0.949558, -0.020559, -0.020557, -2.021204, -0.080170, -1.049841]
gen=36	fitness=11.999496878941	position=[1.005555, -0.960045, 1.019376, -0.016793, 0.949558, -0.020559, -0.020557, -2.021204, -0.080170, -1.049841]
gen=37	fitness=11.999496878941	position=[1.005555, -0.960045, 1.019376, -0.016793, 0.949558, -0.020559, -0.020557, -2.021204, -0.080170, -1.049841]
gen=38	fitness=11.570254659774	position=[1.038793, -0.987721, 1.033318, 0.029690, 0.968302, -0.019037, -0.024843, -2.055755, -0.046738, -1.021704]
gen=39	fitness=11.005674156795	position=[1.024495, -0.971272, 1.002267, -0.038449, 0.958568, -0.005949, -0.040890, -1.989727, -0.061296, -1.020654]
gen=40	fitness=11.005674156795	position=[1.024495, -0.971272, 1.002267, -0.038449, 0.958568, -0.005949, -0.040890, -1.989727, -0.061296, -1.020654]
gen=41	fitness=11.005674156795	position=[1.024495, -0.971272, 1.002267, -0.038449, 0.958568, -0.005949, -0.040890, -1.989727, -0.061296, -1.020654]
gen=42	fitness=10.817379739082	position=[1.055049, -0.997351, 1.025181, 0.020461, 0.976335, -0.012036, -0.026670, -2.038330, -0.027407, -1.008611]
gen=43	fitness=10.817379739082	position=[1.055049, -0.997351, 1.025181, 0.020461, 0.976335, -0.012036, -0.026670, -2.038330, -0.027407, -1.008611]
gen=44	fitness=10.817379739082	position=[1.055049, -0.997351, 1.025181, 0.020461, 0.976335, -0.012036, -0.026670, -2.038330, -0.027407, -1.008611]
gen=45	fitness=10.480186905039	position=[1.003133, -0.977064, 0.993828, -0.013001, 0.993843, -0.029651, -0.008723, -2.043788, -0.043143, -1.032949]
gen=46	fitness=10.480186905039	position=[1.003133, -0.977064, 0.993828, -0.013001, 0.993843, -0.029651, -0.008723, -2.043788, -0.043143, -1.032949]
gen=47	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=48	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=49	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=50	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=51	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=52	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=53	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=54	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=55	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=56	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=57	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=58	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=59	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=60	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=61	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=62	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=63	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=64	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=65	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=66	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=67	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=68	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=69	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=70	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=71	fitness=9.581866907031	position=[1.001855, -1.000231, 0.998886, -0.009187, 0.988162, 0.000013, -0.023376, -2.016456, -0.027317, -1.025747]
gen=72	fitness=9.511000785838	position=[1.013457, -1.009124, 0.999361, -0.001480, 0.986067, 0.006100, -0.027419, -2.009014, -0.019647, -1.019948]
gen=73	fitness=9.511000785838	position=[1.013457, -1.009124, 0.999361, -0.001480, 0.986067, 0.006100, -0.027419, -2.009014, -0.019647, -1.019948]
gen=74	fitness=9.511000785838	position=[1.013457, -1.009124, 0.999361, -0.001480, 0.986067, 0.006100, -0.027419, -2.009014, -0.019647, -1.019948]
gen=75	fitness=9.511000785838	position=[1.013457, -1.009124, 0.999361, -0.001480, 0.986067, 0.006100, -0.027419, -2.009014, -0.019647, -1.019948]
gen=76	fitness=9.511000785838	position=[1.013457, -1.009124, 0.999361, -0.001480, 0.986067, 0.006100, -0.027419, -2.009014, -0.019647, -1.019948]
gen=77	fitness=9.511000785838	position=[1.013457, -1.009124, 0.999361, -0.001480, 0.986067, 0.006100, -0.027419, -2.009014, -0.019647, -1.019948]
gen=78	fitness=9.511000785838	position=[1.013457, -1.009124, 0.999361, -0.001480, 0.986067, 0.006100, -0.027419, -2.009014, -0.019647, -1.019948]
gen=79	fitness=9.511000785838	position=[1.013457, -1.009124, 0.999361, -0.001480, 0.986067, 0.006100, -0.027419, -2.009014, -0.019647, -1.019948]
gen=80	fitness=9.511000785838	position=[1.013457, -1.009124, 0.999361, -0.001480, 0.986067, 0.006100, -0.027419, -2.009014, -0.019647, -1.019948]
gen=81	fitness=9.511000785838	position=[1.013457, -1.009124, 0.999361, -0.001480, 0.986067, 0.006100, -0.027419, -2.009014, -0.019647, -1.019948]
gen=82	fitness=9.426178026344	position=[0.997062, -0.997726, 0.984525, -0.000910, 0.971967, 0.008039, -0.009765, -2.010515, -0.030387, -1.009924]
gen=83	fitness=9.426178026344	position=[0.997062, -0.997726, 0.984525, -0.000910, 0.971967, 0.008039, -0.009765, -2.010515, -0.030387, -1.009924]
gen=84	fitness=9.426178026344	position=[0.997062, -0.997726, 0.984525, -0.000910, 0.971967, 0.008039, -0.009765, -2.010515, -0.030387, -1.009924]
gen=85	fitness=9.426178026344	position=[0.997062, -0.997726, 0.984525, -0.000910, 0.971967, 0.008039, -0.009765, -2.010515, -0.030387, -1.009924]
gen=86	fitness=9.374689179139	position=[0.995489, -0.998814, 0.984158, -0.008689, 0.968809, 0.002243, -0.015738, -2.008722, -0.018351, -1.011903]
gen=87	fitness=9.238279145085	position=[0.991274, -0.993078, 0.991962, 0.004587, 0.975488, -0.002538, -0.018201, -2.002223, -0.014631, -1.012340]
gen=88	fitness=9.238279145085	position=[0.991274, -0.993078, 0.991962, 0.004587, 0.975488, -0.002538, -0.018201, -2.002223, -0.014631, -1.012340]
gen=89	fitness=9.238279145085	position=[0.991274, -0.993078, 0.991962, 0.004587, 0.975488, -0.002538, -0.018201, -2.002223, -0.014631, -1.012340]
gen=90	fitness=9.238279145085	position=[0.991274, -0.993078, 0.991962, 0.004587, 0.975488, -0.002538, -0.018201, -2.002223, -0.014631, -1.012340]
gen=91	fitness=9.238279145085	position=[0.991274, -0.993078, 0.991962, 0.004587, 0.975488, -0.002538, -0.018201, -2.002223, -0.014631, -1.012340]
gen=92	fitness=9.238279145085	position=[0.991274, -0.993078, 0.991962, 0.004587, 0.975488, -0.002538, -0.018201, -2.002223, -0.014631, -1.012340]
gen=93	fitness=9.238279145085	position=[0.991274, -0.993078, 0.991962, 0.004587, 0.975488, -0.002538, -0.018201, -2.002223, -0.014631, -1.012340]
gen=94	fitness=9.238279145085	position=[0.991274, -0.993078, 0.991962, 0.004587, 0.975488, -0.002538, -0.018201, -2.002223, -0.014631, -1.012340]
gen=95	fitness=9.238279145085	position=[0.991274, -0.993078, 0.991962, 0.004587, 0.975488, -0.002538, -0.018201, -2.002223, -0.014631, -1.012340]
gen=96	fitness=9.238279145085	position=[0.991274, -0.993078, 0.991962, 0.004587, 0.975488, -0.002538, -0.018201, -2.002223, -0.014631, -1.012340]
gen=97	fitness=9.238279145085	position=[0.991274, -0.993078, 0.991962, 0.004587, 0.975488, -0.002538, -0.018201, -2.002223, -0.014631, -1.012340]
gen=98	fitness=9.238279145085	position=[0.991274, -0.993078, 0.991962, 0.004587, 0.975488, -0.002538, -0.018201, -2.002223, -0.014631, -1.012340]
gen=99	fitness=9.238279145085	position=[0.991274, -0.993078, 0.991962, 0.004587, 0.975488, -0.002538, -0.018201, -2.002223, -0.014631, -1.012340]
gen=100	fitness=9.238279145085	position=[0.991274, -0.993078, 0.991962, 0.004587, 0.975488, -0.002538, -0.018201, -2.002223, -0.014631, -1.012340]
gen=101	fitness=9.178685356501	position=[1.000171, -0.985871, 0.985316, -0.004879, 0.982982, 0.005043, -0.011988, -1.996398, -0.006943, -1.017341]
gen=102	fitness=9.178685356501	position=[1.000171, -0.985871, 0.985316, -0.004879, 0.982982, 0.005043, -0.011988, -1.996398, -0.006943, -1.017341]
gen=103	fitness=9.178685356501	position=[1.000171, -0.985871, 0.985316, -0.004879, 0.982982, 0.005043, -0.011988, -1.996398, -0.006943, -1.017341]
gen=104	fitness=9.178685356501	position=[1.000171, -0.985871, 0.985316, -0.004879, 0.982982, 0.005043, -0.011988, -1.996398, -0.006943, -1.017341]
gen=105	fitness=9.178685356501	position=[1.000171, -0.985871, 0.985316, -0.004879, 0.982982, 0.005043, -0.011988, -1.996398, -0.006943, -1.017341]
gen=106	fitness=9.178685356501	position=[1.000171, -0.985871, 0.985316, -0.004879, 0.982982, 0.005043, -0.011988, -1.996398, -0.006943, -1.017341]
gen=107	fitness=9.178685356501	position=[1.000171, -0.985871, 0.985316, -0.004879, 0.982982, 0.005043, -0.011988, -1.996398, -0.006943, -1.017341]
gen=108	fitness=9.122123643213	position=[0.983608, -0.991496, 0.991981, -0.002446, 0.979939, 0.002550, -0.012461, -2.000312, -0.009433, -1.005208]
gen=109	fitness=9.122123643213	position=[0.983608, -0.991496, 0.991981, -0.002446, 0.979939, 0.002550, -0.012461, -2.000312, -0.009433, -1.005208]
gen=110	fitness=9.122123643213	position=[0.983608, -0.991496, 0.991981, -0.002446, 0.979939, 0.002550, -0.012461, -2.000312, -0.009433, -1.005208]
gen=111	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=112	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=113	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=114	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=115	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=116	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=117	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=118	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=119	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=120	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=121	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=122	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=123	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=124	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=125	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=126	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=127	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=128	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=129	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=130	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=131	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=132	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=133	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=134	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=135	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=136	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=137	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=138	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=139	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=140	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=141	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=142	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=143	fitness=9.116595328901	position=[1.001582, -0.995175, 1.002290, -0.000467, 0.973332, 0.003462, -0.013444, -1.990819, -0.003211, -0.987977]
gen=144	fitness=9.038526013025	position=[0.998044, -0.992727, 0.989813, -0.000553, 0.986147, 0.009680, -0.004874, -1.993175, -0.010735, -0.987154]
gen=145	fitness=9.038526013025	position=[0.998044, -0.992727, 0.989813, -0.000553, 0.986147, 0.009680, -0.004874, -1.993175, -0.010735, -0.987154]
gen=146	fitness=9.038526013025	position=[0.998044, -0.992727, 0.989813, -0.000553, 0.986147, 0.009680, -0.004874, -1.993175, -0.010735, -0.987154]
gen=147	fitness=9.038526013025	position=[0.998044, -0.992727, 0.989813, -0.000553, 0.986147, 0.009680, -0.004874, -1.993175, -0.010735, -0.987154]
gen=148	fitness=9.038526013025	position=[0.998044, -0.992727, 0.989813, -0.000553, 0.986147, 0.009680, -0.004874, -1.993175, -0.010735, -0.987154]
gen=149	fitness=9.024334921690	position=[0.991160, -0.988259, 0.990083, -0.003150, 0.996472, 0.008549, 0.003500, -1.989901, -0.012816, -0.992373]
gen=150	fitness=9.024334921690	position=[0.991160, -0.988259, 0.990083, -0.003150, 0.996472, 0.008549, 0.003500, -1.989901, -0.012816, -0.992373]
gen=151	fitness=9.024334921690	position=[0.991160, -0.988259, 0.990083, -0.003150, 0.996472, 0.008549, 0.003500, -1.989901, -0.012816, -0.992373]
gen=152	fitness=9.024334921690	position=[0.991160, -0.988259, 0.990083, -0.003150, 0.996472, 0.008549, 0.003500, -1.989901, -0.012816, -0.992373]
gen=153	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=154	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=155	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=156	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=157	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=158	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=159	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=160	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=161	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=162	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=163	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=164	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=165	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=166	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=167	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=168	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=169	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=170	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=171	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=172	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=173	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=174	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
gen=175	fitness=9.013766147911	position=[0.993302, -0.991142, 1.002772, -0.002212, 0.983549, 0.001872, -0.003513, -1.986397, -0.006969, -0.997819]
