seed=7
gen=0	fitness=79.393464459465	position=[-3.208561, 1.808844, -0.822902, -3.079068, -0.207016, 1.100161, -3.049317, -2.079833, -1.073810, -1.861297]
gen=25	fitness=19.229745973165	position=[1.971939, 0.946468, 0.036519, 0.994800, -0.988632, 0.997038, -0.955643, 1.971886, 0.967290, -1.985460]
gen=26	fitness=19.229745973165	position=[1.971939, 0.946468, 0.036519, 0.994800, -0.988632, 0.997038, -0.955643, 1.971886, 0.967290, -1.985460]
gen=27	fitness=19.229745973165	position=[1.971939, 0.946468, 0.036519, 0.994800, -0.988632, 0.997038, -0.955643, 1.971886, 0.967290, -1.985460]
gen=28	fitness=19.229745973165	position=[1.971939, 0.946468, 0.036519, 0.994800, -0.988632, 0.997038, -0.955643, 1.971886, 0.967290, -1.985460]
gen=29	fitness=19.229745973165	position=[1.971939, 0.946468, 0.036519, 0.994800, -0.988632, 0.997038, -0.955643, 1.971886, 0.967290, -1.985460]
gen=30	fitness=19.229745973165	position=[1.971939, 0.946468, 0.036519, 0.994800, -0.988632, 0.997038, -0.955643, 1.971886, 0.967290, -1.985460]
gen=31	fitness=19.229745973165	position=[1.971939, 0.946468, 0.036519, 0.994800, -0.988632, 0.997038, -0.955643, 1.971886, 0.967290, -1.985460]
gen=32	fitness=18.824069207667	position=[1.982137, 0.949748, 0.037724, 0.996760, -0.995098, 1.003491, -0.986218, 1.970915, 0.970442, -1.991062]
gen=33	fitness=18.824069207667	position=[1.982137, 0.949748, 0.037724, 0.996760, -0.995098, 1.003491, -0.986218, 1.970915, 0.970442, -1.991062]
gen=34	fitness=18.824069207667	position=[1.982137, 0.949748, 0.037724, 0.996760, -0.995098, 1.003491, -0.986218, 1.970915, 0.970442, -1.991062]
gen=35	fitness=18.824069207667	position=[1.982137, 0.949748, 0.037724, 0.996760, -0.995098, 1.003491, -0.986218, 1.970915, 0.970442, -1.991062]
gen=36	fitness=18.647078994853	position=[1.983314, 0.963506, 0.031078, 0.997905, -1.014690, 1.013140, -0.971552, 1.975434, 0.979571, -1.986695]
gen=37	fitness=18.647078994853	position=[1.983314, 0.963506, 0.031078, 0.997905, -1.014690, 1.013140, -0.971552, 1.975434, 0.979571, -1.986695]
gen=38	fitness=18.647078994853	position=[1.983314, 0.963506, 0.031078, 0.997905, -1.014690, 1.013140, -0.971552, 1.975434, 0.979571, -1.986695]
gen=39	fitness=18.647078994853	position=[1.983314, 0.963506, 0.031078, 0.997905, -1.014690, 1.013140, -0.971552, 1.975434, 0.979571, -1.986695]
gen=40	fitness=18.647078994853	position=[1.983314, 0.963506, 0.031078, 0.997905, -1.014690, 1.013140, -0.971552, 1.975434, 0.979571, -1.986695]
gen=41	fitness=18.647078994853	position=[1.983314, 0.963506, 0.031078, 0.997905, -1.014690, 1.013140, -0.971552, 1.975434, 0.979571, -1.986695]
gen=42	fitness=18.647078994853	position=[1.983314, 0.963506, 0.031078, 0.997905, -1.014690, 1.013140, -0.971552, 1.975434, 0.979571, -1.986695]
gen=43	fitness=18.647078994853	position=[1.983314, 0.963506, 0.031078, 0.997905, -1.014690, 1.013140, -0.971552, 1.975434, 0.979571, -1.986695]
gen=44	fitness=18.647078994853	position=[1.983314, 0.963506, 0.031078, 0.997905, -1.014690, 1.013140, -0.971552, 1.975434, 0.979571, -1.986695]
gen=45	fitness=18.647078994853	position=[1.983314, 0.963506, 0.031078, 0.997905, -1.014690, 1.013140, -0.971552, 1.975434, 0.979571, -1.986695]
gen=46	fitness=18.647078994853	position=[1.983314, 0.963506, 0.031078, 0.997905, -1.014690, 1.013140, -0.971552, 1.975434, 0.979571, -1.986695]
gen=47	fitness=18.550522894357	position=[1.974633, 0.959775, 0.026034, 0.991504, -1.006921, 1.006383, -0.983417, 1.976126, 0.973019, -1.987259]
gen=48	fitness=18.550522894357	position=[1.974633, 0.959775, 0.026034, 0.991504, -1.006921, 1.006383, -0.983417, 1.976126, 0.973019, -1.987259]
gen=49	fitness=18.550522894357	position=[1.974633, 0.959775, 0.026034, 0.991504, -1.006921, 1.006383, -0.983417, 1.976126, 0.973019, -1.987259]
gen=50	fitness=18.550522894357	position=[1.974633, 0.959775, 0.026034, 0.991504, -1.006921, 1.006383, -0.983417, 1.976126, 0.973019, -1.987259]
gen=51	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=52	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=53	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=54	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=55	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=56	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=57	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=58	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=59	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=60	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=61	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=62	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=63	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=64	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=65	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=66	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=67	fitness=18.222815236686	position=[1.961775, 0.975362, 0.005257, 0.992373, -1.007626, 0.999292, -0.986691, 1.985921, 0.984235, -1.989580]
gen=68	fitness=18.196175647992	position=[1.970999, 0.982063, 0.007458, 0.994513, -1.020370, 1.006290, -0.990658, 1.983991, 0.994530, -1.996369]
gen=69	fitness=18.196175647992	position=[1.970999, 0.982063, 0.007458, 0.994513, -1.020370, 1.006290, -0.990658, 1.983991, 0.994530, -1.996369]
gen=70	fitness=18.196175647992	position=[1.970999, 0.982063, 0.007458, 0.994513, -1.020370, 1.006290, -0.990658, 1.983991, 0.994530, -1.996369]
gen=71	fitness=18.196175647992	position=[1.970999, 0.982063, 0.007458, 0.994513, -1.020370, 1.006290, -0.990658, 1.983991, 0.994530, -1.996369]
gen=72	fitness=18.196175647992	position=[1.970999, 0.982063, 0.007458, 0.994513, -1.020370, 1.006290, -0.990658, 1.983991, 0.994530, -1.996369]
gen=73	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=74	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=75	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=76	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=77	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=78	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=79	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=80	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=81	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=82	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=83	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=84	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=85	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=86	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=87	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=88	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=89	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=90	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=91	fitness=18.135135447531	position=[1.974566, 0.985234, 0.013970, 1.001242, -1.013412, 1.000319, -0.983147, 1.987225, 0.997321, -1.997269]
gen=92	fitness=18.075654847709	position=[1.977332, 0.986276, 0.018892, 0.998235, -1.006200, 0.995911, -0.988247, 1.988680, 1.002012, -1.993806]
gen=93	fitness=18.075654847709	position=[1.977332, 0.986276, 0.018892, 0.998235, -1.006200, 0.995911, -0.988247, 1.988680, 1.002012, -1.993806]
gen=94	fitness=18.075654847709	position=[1.977332, 0.986276, 0.018892, 0.998235, -1.006200, 0.995911, -0.988247, 1.988680, 1.002012, -1.993806]
gen=95	fitness=18.043041223563	position=[1.975370, 0.989035, 0.013954, 0.997666, -0.999291, 0.986411, -0.988541, 1.997457, 0.996608, -1.995786]
gen=96	fitness=18.043041223563	position=[1.975370, 0.989035, 0.013954, 0.997666, -0.999291, 0.986411, -0.988541, 1.997457, 0.996608, -1.995786]
gen=97	fitness=18.043041223563	position=[1.975370, 0.989035, 0.013954, 0.997666, -0.999291, 0.986411, -0.988541, 1.997457, 0.996608, -1.995786]
gen=98	fitness=18.043041223563	position=[1.975370, 0.989035, 0.013954, 0.997666, -0.999291, 0.986411, -0.988541, 1.997457, 0.996608, -1.995786]
gen=99	fitness=18.043041223563	position=[1.975370, 0.989035, 0.013954, 0.997666, -0.999291, 0.986411, -0.988541, 1.997457, 0.996608, -1.995786]
gen=100	fitness=18.043041223563	position=[1.975370, 0.989035, 0.013954, 0.997666, -0.999291, 0.986411, -0.988541, 1.997457, 0.996608, -1.995786]
gen=101	fitness=18.043041223563	position=[1.975370, 0.989035, 0.013954, 0.997666, -0.999291, 0.986411, -0.988541, 1.997457, 0.996608, -1.995786]
gen=102	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=103	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=104	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=105	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=106	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=107	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=108	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=109	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=110	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=111	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=112	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=113	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=114	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=115	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=116	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=117	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=118	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=119	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=120	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=121	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=122	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=123	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=124	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=125	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=126	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=127	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=128	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=129	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=130	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=131	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=132	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=133	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=134	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=135	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=136	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=137	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=138	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=139	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=140	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=141	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=142	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=143	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=144	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=145	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=146	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=147	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=148	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=149	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=150	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=151	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=152	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=153	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=154	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=155	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=156	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=157	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=158	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=159	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=160	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=161	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=162	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=163	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=164	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=165	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=166	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=167	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=168	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=169	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=170	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=171	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=172	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=173	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=174	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=175	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
